id,table_id:id,name,description,element_char,element_float,element_percent,start_date,end_date,interval_init_infinity,interval_init,interval_init_close,interval_end_infinity,interval_end,interval_end_close
pe_payroll_sp_onp,pe_payroll_sp,ONP,"ONP","ONP",3,100,,,1,,,1,,
pe_payroll_sp_habitat,pe_payroll_sp,Habitat,"Habitat by wage","Habitat",1.47,100,,,1,,,1,,
pe_payroll_sp_habitat_mix,pe_payroll_sp,Habitat.Mix,"Habitat by balance","Habitat Mixed",0.47,85,,,1,,,1,,
pe_payroll_sp_profuturo,pe_payroll_sp,Profuturo,"Profuturo by wage","Profuturo",1.84,100,,,1,,,1,,
pe_payroll_sp_profuturo_mix,pe_payroll_sp,Profuturo.Mix,"Profuturo by balance","Profuturo Mixed",1.49,85,,,1,,,1,,
pe_payroll_sp_prima,pe_payroll_sp,Prima,"Prima by wage","Prima",1.6,100,,,1,,,1,,
pe_payroll_sp_prima_mix,pe_payroll_sp,Prima.Mix,"Prima by balance","Prima Mixed",1.51,85,,,1,,,1,,
pe_payroll_sp_integra,pe_payroll_sp,Integra,"Integra by wage","Integra",1.55,100,,,1,,,1,,
pe_payroll_sp_integra_mix,pe_payroll_sp,Integra.Mix,"Integra by balance","Integra Mixed",1.45,85,,,1,,,1,,
pe_5ta_rate_0uit,pe_5ta_rate,5ta.RATE,"Rate Rent 5th Category below 27 UIT",,,0,,,1,,,,0,1
pe_5ta_rate_27uit,pe_5ta_rate,5ta.RATE,"Rate Rent 5th Category Up 27 UIT",,,15,,,,0,,,27,1
pe_5ta_rate_27uit_54uit,pe_5ta_rate,5ta.RATE,"Rate Rent 5th Category From 27 UIT To 54 UIT",,,21,,,,27,,,54,1
pe_5ta_rate_54uit,pe_5ta_rate,5ta.RATE,"Rate Rent 5th Category From 54 UIT",,,30,,,,54,,1,,